feature,f_statistic,p_value
tempo_std,808.0842129044706,0.0
pitch_mean,969.8199352710678,0.0
velocity_min,840.4809727105671,0.0
velocity_max,850.5558900875138,0.0
velocity_mean,1169.0247045469173,0.0
tempo_variation,808.3377617401702,0.0
syncopation,769.9260562629039,0.0
pitch_max,670.8801543965042,5.89876657530683e-310
note_overlap_ratio,670.7382525472277,6.5932485161377e-310
tempo_mean,635.218341255916,1.1874854729319059e-297
chord_changes,621.4474854616544,8.157068251977316e-293
harmony_complexity,619.4351795172582,4.192203055731173e-292
pitch_std,556.1583074519602,3.4027959851264964e-269
pitch_min,419.7687070089964,9.508223224091538e-216
rhythm_mean,327.2739076784365,8.620165335598527e-176
rhythm_std,292.38756532122585,8.193383054361812e-160
dynamic_contrast,222.96537849801166,2.402292747484768e-126
velocity_std,221.97197240762878,7.530474867021911e-126
dynamic_range,134.75172039038222,3.6285306907439456e-80
duration,119.30894401335755,1.3087883649102985e-71
total_notes,109.39727337548544,4.890042222778202e-66
